v1_page,v1_nav_status,v1_top_section,v1_title,v1_page_content_summary,v1_key_topics,v1_state,v1_state_flags,v1_state_rationale,v1_state_confidence,recommended_target_type,recommended_v2_tab,recommended_v2_anchor,recommended_v2_group_path,recommended_v2_route,recommended_v2_route_in_docs_json,recommended_v2_target_file_exists,recommended_v2_target_file_path,recommended_new_location,coverage_grade,coverage_rationale,deprecate_or_supersede_recommendation,recommended_action,confidence_score,adjudication_status,notes,seed_row_present,seed_target_match_status,phase1_primary_wp,phase1_wps,phase1_scope,phase1_status,phase1_owner,phase1_notes,phase1_updated_at
v1/api-reference/generate/text-to-image,in_v1_nav,api-reference,Text To Image,Text To Image.,text|image|api|reference|generate,beta_experimental,api_endpoint_page|has_beta_label,Page text indicates beta/experimental or preview status.,0.88,existing_v2_page,Gateways,Gateways,Technical References > API Reference > AI API,v2/gateways/references/api-reference/AI-API/text-to-image,true,true,v2/gateways/references/api-reference/AI-API/text-to-image.mdx,,adequately_covered,Best candidate score 0.84 against English IA route v2/gateways/references/api-reference/AI-API/text-to-image.,review_for_deprecation_or_merge,keep_as_is,0.96,not_required,"Top candidate: v2/gateways/references/api-reference/AI-API/text-to-image (score 0.84, resolution direct).",false,,WP-02,WP-02,mandatory_quick_win,completed,Developers Docs Owner,Mandatory quick-win row closed in Phase 1 (32/32 denominator set).,2026-03-02T10:44:38.739Z
v1/api-reference/generate/text-to-speech,orphan_not_in_v1_nav,api-reference,Text to Speech,Text to Speech.,text|speech|api|reference|generate,orphan_not_in_nav,not_in_v1_docs_json_nav|api_endpoint_page,Page exists in filesystem but is not referenced in v1 docs.json navigation.,0.9,existing_v2_page,Gateways,Gateways,Technical References > API Reference > AI API,v2/gateways/references/api-reference/AI-API/text-to-speech,true,true,v2/gateways/references/api-reference/AI-API/text-to-speech.mdx,,adequately_covered,Best candidate score 0.84 against English IA route v2/gateways/references/api-reference/AI-API/text-to-speech.,no_deprecation_recommended,keep_as_is,0.96,confirmed,"Top candidate: v2/gateways/references/api-reference/AI-API/text-to-speech (score 0.84, resolution direct). Adjudication confirmed recommendation.",false,,WP-02,WP-02,stretch_quick_win,tracked_optional,Developers Docs Owner,Optional +5 confirmed quick-win row tracked separately.,2026-03-02T10:44:38.739Z
v1/api-reference/generate/upscale,in_v1_nav,api-reference,Upscale,Upscale.,upscale|api|reference|generate,beta_experimental,api_endpoint_page|has_beta_label|overlaps_v2_hub,Page text indicates beta/experimental or preview status.,0.88,existing_v2_hub_merge,Gateways,Gateways,Technical References > API Reference > AI API,v2/gateways/references/api-reference/AI-API/upscale,true,true,v2/gateways/references/api-reference/AI-API/upscale.mdx,,partially_covered,Best candidate score 0.81 against English IA route v2/gateways/references/api-reference/AI-API/upscale.,review_for_deprecation_or_merge,merge_and_redirect,0.93,not_required,"Top candidate: v2/gateways/references/api-reference/AI-API/upscale (score 0.81, resolution direct).",false,,,,out_of_scope_phase1,deferred,Developers Docs Owner,Deferred to later phase work packages.,2026-03-02T10:44:38.739Z
v1/api-reference/multistream/create,in_v1_nav,api-reference,Create a multistream,Create a multistream.,multistream|create|api|reference,legacy,api_endpoint_page,Default legacy classification for v1 content.,0.72,existing_v2_page,Developers,Developer Platforms,Livepeer Studio > API Reference > Multistream,v2/platforms/livepeer-studio/api-reference/multistream/create,true,true,v2/platforms/livepeer-studio/api-reference/multistream/create.mdx,,adequately_covered,Best candidate score 0.92 against English IA route v2/platforms/livepeer-studio/api-reference/multistream/create.,no_deprecation_recommended,keep_as_is,0.98,not_required,"Top candidate: v2/platforms/livepeer-studio/api-reference/multistream/create (score 0.92, resolution direct).",false,,WP-02,WP-02,mandatory_quick_win,completed,Developers Docs Owner,Mandatory quick-win row closed in Phase 1 (32/32 denominator set).,2026-03-02T10:44:38.739Z
v1/api-reference/multistream/delete,in_v1_nav,api-reference,Delete a multistream,Delete a multistream.,multistream|delete|api|reference,legacy,api_endpoint_page,Default legacy classification for v1 content.,0.72,existing_v2_page,Developers,Developer Platforms,Livepeer Studio > API Reference > Multistream,v2/platforms/livepeer-studio/api-reference/multistream/delete,true,true,v2/platforms/livepeer-studio/api-reference/multistream/delete.mdx,,adequately_covered,Best candidate score 0.92 against English IA route v2/platforms/livepeer-studio/api-reference/multistream/delete.,no_deprecation_recommended,keep_as_is,0.98,not_required,"Top candidate: v2/platforms/livepeer-studio/api-reference/multistream/delete (score 0.92, resolution direct).",false,,WP-02,WP-02,mandatory_quick_win,completed,Developers Docs Owner,Mandatory quick-win row closed in Phase 1 (32/32 denominator set).,2026-03-02T10:44:38.739Z
v1/api-reference/multistream/get-all,in_v1_nav,api-reference,Retrieve all multistreams,Retrieve all multistreams.,all|api|reference|multistream|get|retrieve,legacy,api_endpoint_page,Default legacy classification for v1 content.,0.72,existing_v2_page,Developers,Developer Platforms,Livepeer Studio > API Reference > Multistream,v2/platforms/livepeer-studio/api-reference/multistream/get-all,true,true,v2/platforms/livepeer-studio/api-reference/multistream/get-all.mdx,,adequately_covered,Best candidate score 0.89 against English IA route v2/platforms/livepeer-studio/api-reference/multistream/get-all.,no_deprecation_recommended,keep_as_is,0.96,not_required,"Top candidate: v2/platforms/livepeer-studio/api-reference/multistream/get-all (score 0.89, resolution direct).",false,,WP-02,WP-02,mandatory_quick_win,completed,Developers Docs Owner,Mandatory quick-win row closed in Phase 1 (32/32 denominator set).,2026-03-02T10:44:38.739Z
v1/api-reference/multistream/get,in_v1_nav,api-reference,Retrieve a multistream,Retrieve a multistream.,multistream|api|reference|get|retrieve,legacy,api_endpoint_page,Default legacy classification for v1 content.,0.72,existing_v2_page,Developers,Developer Platforms,Livepeer Studio > API Reference > Multistream,v2/platforms/livepeer-studio/api-reference/multistream/get,true,true,v2/platforms/livepeer-studio/api-reference/multistream/get.mdx,,adequately_covered,Best candidate score 0.88 against English IA route v2/platforms/livepeer-studio/api-reference/multistream/get.,no_deprecation_recommended,keep_as_is,0.95,not_required,"Top candidate: v2/platforms/livepeer-studio/api-reference/multistream/get (score 0.88, resolution direct).",false,,WP-02,WP-02,mandatory_quick_win,completed,Developers Docs Owner,Mandatory quick-win row closed in Phase 1 (32/32 denominator set).,2026-03-02T10:44:38.739Z
v1/api-reference/multistream/overview,in_v1_nav,api-reference,Overview,"Overview. The Multistream target API is used to create, retrieve, update, delete multi-stream targets object from pipeline.",multistream|target|api|used|object|url,legacy,api_endpoint_page|overlaps_v2_hub,Default legacy classification for v1 content.,0.72,existing_v2_hub_merge,Developers,Developer Platforms,Livepeer Studio > API Reference > Multistream,v2/platforms/livepeer-studio/api-reference/multistream/overview,true,true,v2/platforms/livepeer-studio/api-reference/multistream/overview.mdx,,partially_covered,Best candidate score 0.76 against English IA route v2/platforms/livepeer-studio/api-reference/multistream/overview.,no_deprecation_recommended,merge_and_redirect,0.83,not_required,"Top candidate: v2/platforms/livepeer-studio/api-reference/multistream/overview (score 0.76, resolution direct).",false,,,,out_of_scope_phase1,deferred,Developers Docs Owner,Deferred to later phase work packages.,2026-03-02T10:44:38.739Z
v1/api-reference/multistream/update,in_v1_nav,api-reference,Update a multistream,Update a multistream.,multistream|update|api|reference,legacy,api_endpoint_page,Default legacy classification for v1 content.,0.72,existing_v2_page,Developers,Developer Platforms,Livepeer Studio > API Reference > Multistream,v2/platforms/livepeer-studio/api-reference/multistream/update,true,true,v2/platforms/livepeer-studio/api-reference/multistream/update.mdx,,adequately_covered,Best candidate score 0.92 against English IA route v2/platforms/livepeer-studio/api-reference/multistream/update.,no_deprecation_recommended,keep_as_is,0.98,not_required,"Top candidate: v2/platforms/livepeer-studio/api-reference/multistream/update (score 0.92, resolution direct).",false,,WP-02,WP-02,mandatory_quick_win,completed,Developers Docs Owner,Mandatory quick-win row closed in Phase 1 (32/32 denominator set).,2026-03-02T10:44:38.739Z
v1/api-reference/overview/authentication,in_v1_nav,api-reference,Authentication,Authentication. Learn more about Livepeer's API.,api|keys|authentication|reference|learn|more,legacy,api_endpoint_page,Default legacy classification for v1 content.,0.72,new_page_in_existing_group,Developers,Developer Platforms,Livepeer Studio > API Reference > Signing Keys,,true,true,v2/platforms/livepeer-studio/api-reference/signing-keys/overview.mdx,Developers > Developer Platforms > Livepeer Studio > API Reference > Signing Keys,minimally_covered,Best candidate score 0.59 against English IA route v2/platforms/livepeer-studio/api-reference/signing-keys/overview.,no_deprecation_recommended,create_new_page,0.66,needs_manual_review,"Top candidate: v2/platforms/livepeer-studio/api-reference/signing-keys/overview (score 0.59, resolution direct). Adjudication could not raise confidence to threshold.",false,,,,out_of_scope_phase1,deferred,Developers Docs Owner,Deferred to later phase work packages.,2026-03-02T10:44:38.739Z
v1/api-reference/overview/introduction,in_v1_nav,api-reference,Introduction,Introduction. Learn more about Livepeer's API.,api|reference|introduction|learn|standard|json,legacy,api_endpoint_page,Default legacy classification for v1 content.,0.72,new_page_in_existing_group,Developers,Developer Platforms,Livepeer Studio > API Reference > Assets,,true,true,v2/platforms/livepeer-studio/api-reference/assets/overview.mdx,Developers > Developer Platforms > Livepeer Studio > API Reference > Assets,minimally_covered,Best candidate score 0.53 against English IA route v2/platforms/livepeer-studio/api-reference/assets/overview.,no_deprecation_recommended,create_new_page,0.6,needs_manual_review,"Top candidate: v2/platforms/livepeer-studio/api-reference/assets/overview (score 0.53, resolution direct). Adjudication could not raise confidence to threshold.",false,,,,out_of_scope_phase1,deferred,Developers Docs Owner,Deferred to later phase work packages.,2026-03-02T10:44:38.739Z
v1/api-reference/playback/get,in_v1_nav,api-reference,Retrieve Playback Info,Retrieve Playback Info.,playback|api|reference|get|retrieve|info,legacy,api_endpoint_page,Default legacy classification for v1 content.,0.72,existing_v2_page,Developers,Developer Platforms,Livepeer Studio > API Reference > Playback,v2/platforms/livepeer-studio/api-reference/playback/get,true,true,v2/platforms/livepeer-studio/api-reference/playback/get.mdx,,adequately_covered,Best candidate score 0.82 against English IA route v2/platforms/livepeer-studio/api-reference/playback/get.,no_deprecation_recommended,keep_as_is,0.89,not_required,"Top candidate: v2/platforms/livepeer-studio/api-reference/playback/get (score 0.82, resolution direct).",false,,WP-02,WP-02,mandatory_quick_win,completed,Developers Docs Owner,Mandatory quick-win row closed in Phase 1 (32/32 denominator set).,2026-03-02T10:44:38.739Z
v1/api-reference/playback/overview,in_v1_nav,api-reference,Overview,Overview. The Playback API is used to retrieve playback object from pipeline.,playback|api|reference|object|live|policy,legacy,api_endpoint_page|overlaps_v2_hub,Default legacy classification for v1 content.,0.72,existing_v2_hub_merge,Developers,Developer Platforms,Livepeer Studio > API Reference > Playback,v2/platforms/livepeer-studio/api-reference/playback/overview,true,true,v2/platforms/livepeer-studio/api-reference/playback/overview.mdx,,partially_covered,Best candidate score 0.76 against English IA route v2/platforms/livepeer-studio/api-reference/playback/overview.,no_deprecation_recommended,merge_and_redirect,0.83,not_required,"Top candidate: v2/platforms/livepeer-studio/api-reference/playback/overview (score 0.76, resolution direct).",false,,,,out_of_scope_phase1,deferred,Developers Docs Owner,Deferred to later phase work packages.,2026-03-02T10:44:38.739Z
v1/api-reference/room/create-user,orphan_not_in_v1_nav,api-reference,Create a user,Create a user.,create|user|api|reference|room,orphan_not_in_nav,not_in_v1_docs_json_nav|api_endpoint_page,Page exists in filesystem but is not referenced in v1 docs.json navigation.,0.9,existing_v2_page,Developers,Developer Platforms,Livepeer Studio > API Reference > Rooms,v2/platforms/livepeer-studio/api-reference/rooms/create-user,true,true,v2/platforms/livepeer-studio/api-reference/rooms/create-user.mdx,,adequately_covered,Best candidate score 0.82 against English IA route v2/platforms/livepeer-studio/api-reference/rooms/create-user.,no_deprecation_recommended,keep_as_is,0.94,confirmed,"Top candidate: v2/platforms/livepeer-studio/api-reference/rooms/create-user (score 0.82, resolution direct). Adjudication confirmed recommendation.",false,,WP-02,WP-02,stretch_quick_win,tracked_optional,Developers Docs Owner,Optional +5 confirmed quick-win row tracked separately.,2026-03-02T10:44:38.739Z
v1/api-reference/room/create,orphan_not_in_v1_nav,api-reference,Create a room,Create a room.,room|create|api|reference,orphan_not_in_nav,not_in_v1_docs_json_nav|api_endpoint_page|overlaps_v2_hub,Page exists in filesystem but is not referenced in v1 docs.json navigation.,0.9,existing_v2_hub_merge,Developers,Developer Platforms,Livepeer Studio > API Reference > Multistream,v2/platforms/livepeer-studio/api-reference/multistream/create,true,true,v2/platforms/livepeer-studio/api-reference/multistream/create.mdx,,partially_covered,Best candidate score 0.78 against English IA route v2/platforms/livepeer-studio/api-reference/multistream/create.,no_deprecation_recommended,merge_and_redirect,0.85,confirmed,"Top candidate: v2/platforms/livepeer-studio/api-reference/multistream/create (score 0.78, resolution direct). Adjudication confirmed recommendation.",false,,,,out_of_scope_phase1,deferred,Developers Docs Owner,Deferred to later phase work packages.,2026-03-02T10:44:38.739Z
v1/api-reference/room/delete,orphan_not_in_v1_nav,api-reference,Delete a room,Delete a room.,room|delete|api|reference,orphan_not_in_nav,not_in_v1_docs_json_nav|api_endpoint_page|overlaps_v2_hub,Page exists in filesystem but is not referenced in v1 docs.json navigation.,0.9,existing_v2_hub_merge,Developers,Developer Platforms,Livepeer Studio > API Reference > Assets,v2/platforms/livepeer-studio/api-reference/assets/delete,true,true,v2/platforms/livepeer-studio/api-reference/assets/delete.mdx,,partially_covered,Best candidate score 0.78 against English IA route v2/platforms/livepeer-studio/api-reference/assets/delete.,no_deprecation_recommended,merge_and_redirect,0.85,confirmed,"Top candidate: v2/platforms/livepeer-studio/api-reference/assets/delete (score 0.78, resolution direct). Adjudication confirmed recommendation.",false,,,,out_of_scope_phase1,deferred,Developers Docs Owner,Deferred to later phase work packages.,2026-03-02T10:44:38.739Z
v1/api-reference/room/get-user,orphan_not_in_v1_nav,api-reference,Retrieve a user,Retrieve a user.,user|api|reference|room|get|retrieve,orphan_not_in_nav,not_in_v1_docs_json_nav|api_endpoint_page|overlaps_v2_hub,Page exists in filesystem but is not referenced in v1 docs.json navigation.,0.9,existing_v2_hub_merge,Developers,Developer Platforms,Livepeer Studio > API Reference > Rooms,v2/platforms/livepeer-studio/api-reference/rooms/get-user,true,true,v2/platforms/livepeer-studio/api-reference/rooms/get-user.mdx,,partially_covered,Best candidate score 0.80 against English IA route v2/platforms/livepeer-studio/api-reference/rooms/get-user.,no_deprecation_recommended,merge_and_redirect,0.92,confirmed,"Top candidate: v2/platforms/livepeer-studio/api-reference/rooms/get-user (score 0.80, resolution direct). Adjudication confirmed recommendation.",false,,,,out_of_scope_phase1,deferred,Developers Docs Owner,Deferred to later phase work packages.,2026-03-02T10:44:38.739Z
v1/api-reference/room/get,orphan_not_in_v1_nav,api-reference,Retrieve a room,Retrieve a room.,room|api|reference|get|retrieve,orphan_not_in_nav,not_in_v1_docs_json_nav|api_endpoint_page|overlaps_v2_hub,Page exists in filesystem but is not referenced in v1 docs.json navigation.,0.9,existing_v2_hub_merge,Developers,Developer Platforms,Livepeer Studio > API Reference > Assets,v2/platforms/livepeer-studio/api-reference/assets/get,true,true,v2/platforms/livepeer-studio/api-reference/assets/get.mdx,,partially_covered,Best candidate score 0.77 against English IA route v2/platforms/livepeer-studio/api-reference/assets/get.,no_deprecation_recommended,merge_and_redirect,0.83,confirmed,"Top candidate: v2/platforms/livepeer-studio/api-reference/assets/get (score 0.77, resolution direct). Adjudication confirmed recommendation.",false,,,,out_of_scope_phase1,deferred,Developers Docs Owner,Deferred to later phase work packages.,2026-03-02T10:44:38.739Z
v1/api-reference/room/remove-user,orphan_not_in_v1_nav,api-reference,Remove a user,Remove a user.,remove|user|api|reference|room,orphan_not_in_nav,not_in_v1_docs_json_nav|api_endpoint_page,Page exists in filesystem but is not referenced in v1 docs.json navigation.,0.9,existing_v2_page,Developers,Developer Platforms,Livepeer Studio > API Reference > Rooms,v2/platforms/livepeer-studio/api-reference/rooms/remove-user,true,true,v2/platforms/livepeer-studio/api-reference/rooms/remove-user.mdx,,adequately_covered,Best candidate score 0.82 against English IA route v2/platforms/livepeer-studio/api-reference/rooms/remove-user.,no_deprecation_recommended,keep_as_is,0.94,confirmed,"Top candidate: v2/platforms/livepeer-studio/api-reference/rooms/remove-user (score 0.82, resolution direct). Adjudication confirmed recommendation.",false,,WP-02,WP-02,stretch_quick_win,tracked_optional,Developers Docs Owner,Optional +5 confirmed quick-win row tracked separately.,2026-03-02T10:44:38.739Z
v1/api-reference/room/start-egress,orphan_not_in_v1_nav,api-reference,Start RTMP egress,Start RTMP egress.,start|egress|api|reference|room|rtmp,orphan_not_in_nav,not_in_v1_docs_json_nav|api_endpoint_page|overlaps_v2_hub,Page exists in filesystem but is not referenced in v1 docs.json navigation.,0.9,existing_v2_hub_merge,Developers,Developer Platforms,Livepeer Studio > API Reference > Rooms,v2/platforms/livepeer-studio/api-reference/rooms/start-egress,true,true,v2/platforms/livepeer-studio/api-reference/rooms/start-egress.mdx,,partially_covered,Best candidate score 0.80 against English IA route v2/platforms/livepeer-studio/api-reference/rooms/start-egress.,no_deprecation_recommended,merge_and_redirect,0.92,confirmed,"Top candidate: v2/platforms/livepeer-studio/api-reference/rooms/start-egress (score 0.80, resolution direct). Adjudication confirmed recommendation.",false,,,,out_of_scope_phase1,deferred,Developers Docs Owner,Deferred to later phase work packages.,2026-03-02T10:44:38.739Z
v1/api-reference/room/stop-egress,orphan_not_in_v1_nav,api-reference,Stop RTMP egress,Stop RTMP egress.,stop|egress|api|reference|room|rtmp,orphan_not_in_nav,not_in_v1_docs_json_nav|api_endpoint_page|overlaps_v2_hub,Page exists in filesystem but is not referenced in v1 docs.json navigation.,0.9,existing_v2_hub_merge,Developers,Developer Platforms,Livepeer Studio > API Reference > Rooms,v2/platforms/livepeer-studio/api-reference/rooms/stop-egress,true,true,v2/platforms/livepeer-studio/api-reference/rooms/stop-egress.mdx,,partially_covered,Best candidate score 0.80 against English IA route v2/platforms/livepeer-studio/api-reference/rooms/stop-egress.,no_deprecation_recommended,merge_and_redirect,0.92,confirmed,"Top candidate: v2/platforms/livepeer-studio/api-reference/rooms/stop-egress (score 0.80, resolution direct). Adjudication confirmed recommendation.",false,,,,out_of_scope_phase1,deferred,Developers Docs Owner,Deferred to later phase work packages.,2026-03-02T10:44:38.739Z
v1/api-reference/room/update-user,orphan_not_in_v1_nav,api-reference,Update a user,Update a user.,update|user|api|reference|room,orphan_not_in_nav,not_in_v1_docs_json_nav|api_endpoint_page,Page exists in filesystem but is not referenced in v1 docs.json navigation.,0.9,existing_v2_page,Developers,Developer Platforms,Livepeer Studio > API Reference > Rooms,v2/platforms/livepeer-studio/api-reference/rooms/update-user,true,true,v2/platforms/livepeer-studio/api-reference/rooms/update-user.mdx,,adequately_covered,Best candidate score 0.82 against English IA route v2/platforms/livepeer-studio/api-reference/rooms/update-user.,no_deprecation_recommended,keep_as_is,0.94,confirmed,"Top candidate: v2/platforms/livepeer-studio/api-reference/rooms/update-user (score 0.82, resolution direct). Adjudication confirmed recommendation.",false,,WP-02,WP-02,stretch_quick_win,tracked_optional,Developers Docs Owner,Optional +5 confirmed quick-win row tracked separately.,2026-03-02T10:44:38.739Z
v1/api-reference/room/update,orphan_not_in_v1_nav,api-reference,Update a stream,Update a stream.,update|api|reference|room|stream,orphan_not_in_nav,not_in_v1_docs_json_nav|api_endpoint_page|overlaps_v2_hub,Page exists in filesystem but is not referenced in v1 docs.json navigation.,0.9,existing_v2_hub_merge,Developers,Developer Platforms,Livepeer Studio > API Reference > Assets,v2/platforms/livepeer-studio/api-reference/assets/update,true,true,v2/platforms/livepeer-studio/api-reference/assets/update.mdx,,partially_covered,Best candidate score 0.77 against English IA route v2/platforms/livepeer-studio/api-reference/assets/update.,no_deprecation_recommended,merge_and_redirect,0.83,confirmed,"Top candidate: v2/platforms/livepeer-studio/api-reference/assets/update (score 0.77, resolution direct). Adjudication confirmed recommendation.",false,,,,out_of_scope_phase1,deferred,Developers Docs Owner,Deferred to later phase work packages.,2026-03-02T10:44:38.739Z
v1/api-reference/session/get-all,in_v1_nav,api-reference,Retrieve all sessions,Retrieve all sessions.,all|api|reference|session|get|retrieve,legacy,api_endpoint_page,Default legacy classification for v1 content.,0.72,existing_v2_page,Developers,Developer Platforms,Livepeer Studio > API Reference > Sessions,v2/platforms/livepeer-studio/api-reference/sessions/get-all,true,true,v2/platforms/livepeer-studio/api-reference/sessions/get-all.mdx,,adequately_covered,Best candidate score 0.85 against English IA route v2/platforms/livepeer-studio/api-reference/sessions/get-all.,no_deprecation_recommended,keep_as_is,0.92,not_required,"Top candidate: v2/platforms/livepeer-studio/api-reference/sessions/get-all (score 0.85, resolution direct).",false,,WP-02,WP-02,mandatory_quick_win,completed,Developers Docs Owner,Mandatory quick-win row closed in Phase 1 (32/32 denominator set).,2026-03-02T10:44:38.739Z
v1/api-reference/session/get-clip,in_v1_nav,api-reference,Retrieve clips of a session,Retrieve clips of a session.,session|api|reference|get|clip|retrieve,legacy,api_endpoint_page,Default legacy classification for v1 content.,0.72,existing_v2_page,Developers,Developer Platforms,Livepeer Studio > API Reference > Sessions,v2/platforms/livepeer-studio/api-reference/sessions/get-clip,true,true,v2/platforms/livepeer-studio/api-reference/sessions/get-clip.mdx,,adequately_covered,Best candidate score 0.82 against English IA route v2/platforms/livepeer-studio/api-reference/sessions/get-clip.,no_deprecation_recommended,keep_as_is,0.89,not_required,"Top candidate: v2/platforms/livepeer-studio/api-reference/sessions/get-clip (score 0.82, resolution direct).",false,,WP-02,WP-02,mandatory_quick_win,completed,Developers Docs Owner,Mandatory quick-win row closed in Phase 1 (32/32 denominator set).,2026-03-02T10:44:38.739Z
v1/api-reference/session/get-recording,in_v1_nav,api-reference,Retrieve recorded sessions,Retrieve recorded sessions.,api|reference|session|get|recording|retrieve,legacy,api_endpoint_page|overlaps_v2_hub,Default legacy classification for v1 content.,0.72,existing_v2_hub_merge,Developers,Developer Platforms,Livepeer Studio > API Reference > Sessions,v2/platforms/livepeer-studio/api-reference/sessions/get,true,true,v2/platforms/livepeer-studio/api-reference/sessions/get.mdx,,minimally_covered,Best candidate score 0.60 against English IA route v2/platforms/livepeer-studio/api-reference/sessions/get.,no_deprecation_recommended,merge_and_redirect,0.67,needs_manual_review,"Top candidate: v2/platforms/livepeer-studio/api-reference/sessions/get (score 0.60, resolution direct). Adjudication could not raise confidence to threshold.",false,,,,out_of_scope_phase1,deferred,Developers Docs Owner,Deferred to later phase work packages.,2026-03-02T10:44:38.739Z
v1/api-reference/session/get,in_v1_nav,api-reference,Retrieve a session,Retrieve a session.,session|api|reference|get|retrieve,legacy,api_endpoint_page|overlaps_v2_hub,Default legacy classification for v1 content.,0.72,existing_v2_hub_merge,Developers,Developer Platforms,Livepeer Studio > API Reference > Assets,v2/platforms/livepeer-studio/api-reference/assets/get,true,true,v2/platforms/livepeer-studio/api-reference/assets/get.mdx,,partially_covered,Best candidate score 0.77 against English IA route v2/platforms/livepeer-studio/api-reference/assets/get.,no_deprecation_recommended,merge_and_redirect,0.83,not_required,"Top candidate: v2/platforms/livepeer-studio/api-reference/assets/get (score 0.77, resolution direct).",false,,,,out_of_scope_phase1,deferred,Developers Docs Owner,Deferred to later phase work packages.,2026-03-02T10:44:38.739Z
v1/api-reference/session/overview,in_v1_nav,api-reference,Overview,Overview. The Sessions API is used to retrieve sessions object from pipeline.,session|api|sessions|object|number|segments,legacy,api_endpoint_page|overlaps_v2_hub,Default legacy classification for v1 content.,0.72,existing_v2_hub_merge,Developers,Developer Platforms,Livepeer Studio > API Reference > Sessions,v2/platforms/livepeer-studio/api-reference/sessions/overview,true,true,v2/platforms/livepeer-studio/api-reference/sessions/overview.mdx,,partially_covered,Best candidate score 0.75 against English IA route v2/platforms/livepeer-studio/api-reference/sessions/overview.,no_deprecation_recommended,merge_and_redirect,0.82,not_required,"Top candidate: v2/platforms/livepeer-studio/api-reference/sessions/overview (score 0.75, resolution direct).",false,,,,out_of_scope_phase1,deferred,Developers Docs Owner,Deferred to later phase work packages.,2026-03-02T10:44:38.739Z
v1/api-reference/signing-key/create,in_v1_nav,api-reference,Create a signing key,Create a signing key.,signing|key|create|api|reference,legacy,api_endpoint_page,Default legacy classification for v1 content.,0.72,existing_v2_page,Developers,Developer Platforms,Livepeer Studio > API Reference > Signing Keys,v2/platforms/livepeer-studio/api-reference/signing-keys/create,true,true,v2/platforms/livepeer-studio/api-reference/signing-keys/create.mdx,,adequately_covered,Best candidate score 0.82 against English IA route v2/platforms/livepeer-studio/api-reference/signing-keys/create.,no_deprecation_recommended,keep_as_is,0.89,not_required,"Top candidate: v2/platforms/livepeer-studio/api-reference/signing-keys/create (score 0.82, resolution direct).",false,,WP-02,WP-02,mandatory_quick_win,completed,Developers Docs Owner,Mandatory quick-win row closed in Phase 1 (32/32 denominator set).,2026-03-02T10:44:38.739Z
v1/api-reference/signing-key/delete,in_v1_nav,api-reference,Delete a signing key,Delete a signing key.,signing|key|delete|api|reference,legacy,api_endpoint_page,Default legacy classification for v1 content.,0.72,existing_v2_page,Developers,Developer Platforms,Livepeer Studio > API Reference > Signing Keys,v2/platforms/livepeer-studio/api-reference/signing-keys/delete,true,true,v2/platforms/livepeer-studio/api-reference/signing-keys/delete.mdx,,adequately_covered,Best candidate score 0.82 against English IA route v2/platforms/livepeer-studio/api-reference/signing-keys/delete.,no_deprecation_recommended,keep_as_is,0.89,not_required,"Top candidate: v2/platforms/livepeer-studio/api-reference/signing-keys/delete (score 0.82, resolution direct).",false,,WP-02,WP-02,mandatory_quick_win,completed,Developers Docs Owner,Mandatory quick-win row closed in Phase 1 (32/32 denominator set).,2026-03-02T10:44:38.739Z
v1/api-reference/signing-key/get-all,in_v1_nav,api-reference,Retrieve signing keys,Retrieve signing keys.,signing|api|reference|key|get|all,legacy,api_endpoint_page,Default legacy classification for v1 content.,0.72,existing_v2_page,Developers,Developer Platforms,Livepeer Studio > API Reference > Signing Keys,v2/platforms/livepeer-studio/api-reference/signing-keys/get-all,true,true,v2/platforms/livepeer-studio/api-reference/signing-keys/get-all.mdx,,adequately_covered,Best candidate score 0.88 against English IA route v2/platforms/livepeer-studio/api-reference/signing-keys/get-all.,no_deprecation_recommended,keep_as_is,0.95,not_required,"Top candidate: v2/platforms/livepeer-studio/api-reference/signing-keys/get-all (score 0.88, resolution direct).",false,,WP-02,WP-02,mandatory_quick_win,completed,Developers Docs Owner,Mandatory quick-win row closed in Phase 1 (32/32 denominator set).,2026-03-02T10:44:38.739Z
v1/api-reference/signing-key/get,in_v1_nav,api-reference,Retrieve a signing key,Retrieve a signing key.,signing|key|api|reference|get|retrieve,legacy,api_endpoint_page|overlaps_v2_hub,Default legacy classification for v1 content.,0.72,existing_v2_hub_merge,Developers,Developer Platforms,Livepeer Studio > API Reference > Signing Keys,v2/platforms/livepeer-studio/api-reference/signing-keys/get,true,true,v2/platforms/livepeer-studio/api-reference/signing-keys/get.mdx,,partially_covered,Best candidate score 0.80 against English IA route v2/platforms/livepeer-studio/api-reference/signing-keys/get.,no_deprecation_recommended,merge_and_redirect,0.87,not_required,"Top candidate: v2/platforms/livepeer-studio/api-reference/signing-keys/get (score 0.80, resolution direct).",false,,,,out_of_scope_phase1,deferred,Developers Docs Owner,Deferred to later phase work packages.,2026-03-02T10:44:38.739Z
